Id,status,duration,credit_history,purpose,amount,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,age,housing,number_credits,job,people_liable,foreign_worker,credit_risk
0,1,18,4,2,1049,2,4,2,1,4,21,1,1,3,2,2,1
1,1,9,4,0,2799,3,2,3,1,2,36,1,2,3,1,2,1
2,2,12,2,9,841,4,2,2,1,4,23,1,1,2,2,2,1
3,1,12,4,0,2122,3,3,3,1,2,39,1,2,2,1,1,1
4,1,12,4,0,2171,3,4,3,1,4,38,2,2,2,2,1,1
5,1,10,4,0,2241,2,1,3,1,3,48,1,2,2,1,1,1
6,1,8,4,0,3398,4,1,3,1,4,39,2,2,2,2,1,1
7,1,6,4,0,1361,2,2,3,1,4,40,2,1,2,1,1,1
8,4,18,4,3,1098,1,4,2,1,4,65,2,2,1,2,2,1
9,2,24,2,3,3758,1,1,2,1,4,23,1,1,1,2,2,1
10,1,11,4,0,3905,3,2,3,1,2,36,1,2,3,1,2,1
11,1,30,4,1,6187,4,1,4,1,4,24,1,2,3,2,2,1
12,1,6,4,3,1957,4,1,2,1,4,31,2,1,3,2,2,1
13,2,48,3,10,7582,1,2,3,1,4,31,2,1,4,2,2,1
14,1,18,2,3,1936,4,2,4,1,4,23,1,2,2,2,2,1
15,1,6,2,3,2647,3,2,3,1,3,44,1,1,3,1,2,1
16,1,11,4,0,3939,3,1,3,1,2,40,2,2,2,1,2,1
17,2,18,2,3,3213,2,1,4,1,3,25,1,1,3,2,2,1
18,2,36,4,3,2337,5,4,3,1,4,36,2,1,3,2,2,1
19,4,11,4,0,7228,3,1,3,1,4,39,2,2,2,2,2,1
20,1,6,4,0,3676,3,1,3,1,3,37,1,3,3,1,2,1
21,2,12,4,0,3124,2,1,3,1,3,49,2,2,2,1,2,1
22,2,36,2,5,2384,2,4,3,1,1,33,1,1,2,2,2,0
23,2,12,4,4,1424,4,4,3,1,3,26,2,1,3,2,2,1
24,1,6,4,0,4716,2,1,3,1,3,44,2,2,2,1,2,1
25,2,11,3,3,4771,4,2,3,1,4,51,2,1,3,2,2,1
26,1,12,2,2,652,5,4,2,1,4,24,1,1,3,2,2,1
27,2,9,4,3,1154,5,2,3,1,4,37,2,3,2,2,2,1
28,4,15,2,0,3556,3,3,3,1,2,29,2,1,3,2,2,1
29,3,42,4,1,4796,5,4,3,1,4,56,3,1,3,2,2,1
30,3,30,4,3,3017,5,4,3,1,4,47,2,1,3,2,2,1
31,4,36,4,0,3535,4,4,3,1,4,37,2,2,3,2,2,1
32,4,36,4,0,6614,5,4,3,1,4,34,2,2,4,2,2,1
33,4,24,2,3,1376,4,4,2,1,1,28,2,1,3,2,2,1
34,1,15,2,0,1721,2,2,3,1,3,36,2,1,3,2,2,1
35,1,6,4,0,860,5,1,2,1,4,39,2,2,3,2,2,1
36,4,12,4,0,1495,5,4,3,1,1,38,2,2,2,1,2,1
37,4,12,4,3,1934,5,2,3,1,2,26,2,2,3,2,2,1
38,4,18,2,1,3378,3,2,3,1,1,31,2,1,3,2,2,1
39,4,24,4,1,3868,5,4,2,1,2,41,1,2,4,2,2,1
40,4,12,4,5,996,4,4,2,1,4,23,2,2,3,2,2,1
41,1,24,2,10,1755,5,4,2,3,4,58,2,1,2,2,2,1
42,4,18,4,0,1028,3,4,2,1,3,36,2,2,3,2,2,1
43,2,24,4,9,2825,4,4,3,1,3,34,2,2,3,1,2,1
44,2,18,2,6,1239,3,4,3,1,4,61,3,1,3,2,2,1
45,1,18,2,0,1216,2,4,2,1,3,23,1,1,3,2,2,0
46,4,24,2,9,1258,4,4,3,1,1,25,2,1,3,2,2,1
47,4,18,4,6,1864,3,4,2,1,2,30,2,2,3,2,2,0
48,4,24,2,0,1474,2,4,4,1,3,33,2,1,3,2,2,1
49,1,24,4,9,1382,4,4,3,1,1,26,2,2,3,2,2,1
50,4,12,2,0,640,3,4,1,1,2,49,2,1,2,2,2,1
51,3,36,2,3,3919,3,2,3,1,2,23,2,1,3,2,2,1
52,4,9,4,0,1224,3,3,3,1,1,30,2,2,3,2,2,1
53,4,12,4,3,2331,5,1,3,2,4,49,2,1,3,2,2,1
54,4,24,2,1,6313,5,3,3,1,4,41,2,1,4,1,2,1
55,1,12,4,3,385,4,4,2,1,3,58,2,4,2,2,2,1
56,4,12,4,3,1655,5,2,3,1,4,63,2,2,2,2,2,1
57,1,15,2,3,1053,2,4,4,1,2,27,2,1,3,2,1,1
58,4,21,2,3,3160,5,4,3,1,3,41,2,1,3,2,2,1
