company,plant_cost_us_billions,plant_location,plant_name,process_technology,production_capacity,started_production,technology_products,wafer_size
United Microelectronics CorporationUMC - Hejian Technology CorporationHe Jian,"0.750, 1.2, +0.5",China,Fab 8N,"4000–1000, 500, 350, 250, 180, 110","77,000","2003, May",Foundry,200
United Microelectronics CorporationUMC,0.35,"Taiwan , Hsinchu",Fab 6A,450,"31,000",1989,Foundry,150
United Microelectronics CorporationUMC,1,"Taiwan , Hsinchu",Fab 8AB,250,"67,000",1995,Foundry,200
United Microelectronics CorporationUMC,1,"Taiwan , Hsinchu",Fab 8C,350–110,"37,000",1998,Foundry,200
United Microelectronics CorporationUMC,1.5,"Taiwan , Hsinchu",Fab 8D,90,"31,000",2000,Foundry,200
United Microelectronics CorporationUMC,0.96,"Taiwan , Hsinchu",Fab 8E,180,"37,000",1998,Foundry,200
United Microelectronics CorporationUMC,1.5,"Taiwan , Hsinchu",Fab 8F,150,"40,000",2000,Foundry,200
United Microelectronics CorporationUMC,0.8,"Taiwan , Hsinchu",Fab 8S,350–250,"31,000",2004,Foundry,200
United Microelectronics CorporationUMC,"4.65, 4.1, 6.6, 7.3","Taiwan , Tainan",Fab 12A,"28, 14","87,000","2001, 2010, 2014, 2017",Foundry,300
United Microelectronics CorporationUMC,3.7,Singapore,Fab 12i,130–40,"53,000",2004,Foundry,300
United Microelectronics CorporationUMC - United Semiconductor,6.2,"China , Xiamen",Fab 12X,55–28,"19,000-",2016,Foundry,300
"United Microelectronics CorporationUMC - United Semiconductor Japan Co., Ltd.USJC",,"Japan , Mie",Fab 12M (original Fujitsu installations),90–40,"33,000",1974,Foundry,"150, 200, 300"
Texas Instruments,,"Germany , Freising",FFAB,1000–180,,,,200
Texas Instruments (formerly National Semiconductor),.932,"USA , ME, South&nbsp;Portland",MFAB,"350 nanometer350, 250 nanometer250, 180 nanometer180",,1997,,200
Texas Instruments,,"USA , TX, Richardson",RFAB,"180, 130",,2009,BiCMOS,300
Texas Instruments,,"USA , TX, Dallas",DMOS6,"130–65, 45",,,,300
Texas Instruments,,"USA , TX, Dallas",DMOS5,180,,,BiCMOS,200
Texas Instruments,,"USA , TX, Dallas",DFAB,1000–500,,1964,,150/200
Texas Instruments,,"USA , TX, Sherman",SFAB,2000–1000,,,,150
Texas Instruments,,"Japan , Miho",MIHO8,350–250,,,BiCMOS,200
Texas Instruments,,"Japan , Aizu",Aizu,110,,,,200
Texas Instruments (formerly Semiconductor Manufacturing International CorporationSMIC - Cension),,"China , Chengdu",Chengdu (CFAB),,,,,200
Tsinghua HoldingsTsinghua Unigroup,"10 (first phase), 30","China , Nanjing",,,"100,000 (first phase)",Planned,3D NAND Flash,300
Tsinghua HoldingsTsinghua Unigroup,28,"China , Chengdu",,,"500,000",Planned,Foundry,300
